timestamp,user,role,device_id,device_trust,country,lat,lon,resource,action,result,mfa,is_anomaly,time_diff_seconds,time_diff_minutes
2025-10-10 03:35:18,user001,contractor,device022,untrusted,US,37.77,-122.41,email,login,success,False,0,,
2025-10-10 12:58:46,user001,employee,device071,trusted,UK,51.5,-0.12,vpn,access,success,True,0,33808.0,563.4666666666667
2025-10-10 12:58:49,user001,employee,device016,trusted,UK,51.5,-0.12,hr_portal,logout,success,True,0,3.0,0.05
2025-10-10 12:59:01,user001,employee,device074,trusted,SG,1.35,103.82,finance_app,access,success,False,1,12.0,0.2
2025-10-10 13:12:38,user001,employee,device007,trusted,US,37.77,-122.41,email,access,success,True,1,817.0,13.616666666666667
2025-10-10 13:24:32,user001,contractor,device025,trusted,UK,51.5,-0.12,vpn,access,success,False,1,714.0,11.9
2025-10-10 13:25:08,user001,employee,device051,untrusted,IN,19.07,72.87,vpn,login,success,True,1,36.0,0.6
2025-10-10 13:26:07,user001,employee,device046,trusted,IN,19.07,72.87,finance_app,logout,success,False,0,59.0,0.9833333333333333
2025-10-10 13:37:20,user001,employee,device017,trusted,DE,52.52,13.4,email,logout,success,True,1,673.0,11.216666666666667
2025-10-10 13:50:59,user001,admin,device030,trusted,SG,1.35,103.82,dev_repo,access,success,False,1,819.0,13.65
2025-10-10 14:24:48,user001,employee,device016,trusted,IN,19.07,72.87,finance_app,logout,success,True,1,2029.0,33.81666666666667
2025-10-10 14:58:07,user001,employee,device038,trusted,IN,19.07,72.87,email,access,success,True,0,1999.0,33.31666666666667
2025-10-10 15:24:24,user001,contractor,device039,trusted,DE,52.52,13.4,email,login,success,True,1,1577.0,26.283333333333335
2025-10-10 15:26:14,user001,employee,device024,trusted,UK,51.5,-0.12,hr_portal,logout,success,True,1,110.0,1.8333333333333333
2025-10-10 15:42:08,user001,contractor,device023,trusted,UK,51.5,-0.12,email,logout,success,False,0,954.0,15.9
2025-10-10 16:01:52,user001,admin,device090,untrusted,US,37.77,-122.41,finance_app,login,success,True,1,1184.0,19.733333333333334
2025-10-10 16:03:26,user001,employee,device049,trusted,IN,19.07,72.87,hr_portal,logout,success,True,1,94.0,1.5666666666666667
2025-10-10 16:25:34,user001,employee,device036,trusted,DE,52.52,13.4,dev_repo,access,success,True,1,1328.0,22.133333333333333
2025-10-10 16:27:56,user001,employee,device077,trusted,SG,1.35,103.82,finance_app,login,success,True,1,142.0,2.3666666666666667
2025-10-10 16:31:39,user001,employee,device012,trusted,SG,1.35,103.82,finance_app,login,success,True,0,223.0,3.716666666666667
2025-10-10 16:35:53,user001,employee,device090,trusted,DE,52.52,13.4,hr_portal,logout,success,True,1,254.0,4.233333333333333
2025-10-10 16:39:33,user001,contractor,device099,trusted,UK,51.5,-0.12,vpn,access,success,False,1,220.0,3.6666666666666665
2025-10-10 16:42:58,user001,employee,device099,trusted,IN,19.07,72.87,vpn,logout,success,False,1,205.0,3.4166666666666665
2025-10-10 16:52:19,user001,employee,device028,trusted,DE,52.52,13.4,hr_portal,access,success,True,1,561.0,9.35
2025-10-10 16:53:31,user001,employee,device086,trusted,SG,1.35,103.82,finance_app,logout,success,True,1,72.0,1.2
2025-10-10 17:13:28,user001,employee,device013,trusted,SG,1.35,103.82,hr_portal,access,success,True,0,1197.0,19.95
2025-10-10 17:17:14,user001,employee,device075,trusted,SG,1.35,103.82,finance_app,access,success,True,0,226.0,3.7666666666666666
2025-10-10 17:25:22,user001,employee,device002,trusted,UK,51.5,-0.12,hr_portal,login,success,True,1,488.0,8.133333333333333
2025-10-10 17:29:49,user001,employee,device028,trusted,US,37.77,-122.41,finance_app,login,success,True,1,267.0,4.45
2025-10-10 17:42:54,user001,employee,device091,trusted,DE,52.52,13.4,finance_app,logout,success,False,1,785.0,13.083333333333334
2025-10-10 18:38:59,user001,contractor,device090,trusted,IN,19.07,72.87,email,logout,success,True,1,3365.0,56.083333333333336
2025-10-10 18:50:50,user001,employee,device032,trusted,UK,51.5,-0.12,finance_app,access,success,True,1,711.0,11.85
2025-10-10 19:16:44,user001,contractor,device033,trusted,US,37.77,-122.41,vpn,logout,success,False,1,1554.0,25.9
2025-10-10 19:25:54,user001,employee,device043,trusted,SG,1.35,103.82,vpn,logout,success,False,1,550.0,9.166666666666666
2025-10-10 19:30:55,user001,employee,device058,trusted,UK,51.5,-0.12,dev_repo,logout,success,True,1,301.0,5.016666666666667
2025-10-10 19:55:01,user001,admin,device069,trusted,UK,51.5,-0.12,hr_portal,login,success,True,0,1446.0,24.1
2025-10-10 20:25:36,user001,employee,device059,trusted,US,37.77,-122.41,vpn,access,success,True,1,1835.0,30.583333333333332
2025-10-10 20:49:21,user001,contractor,device062,trusted,UK,51.5,-0.12,email,access,success,True,1,1425.0,23.75
2025-10-10 21:12:17,user001,employee,device020,trusted,SG,1.35,103.82,email,login,success,True,1,1376.0,22.933333333333334
2025-10-10 21:20:10,user001,employee,device042,trusted,DE,52.52,13.4,finance_app,login,success,True,1,473.0,7.883333333333334
2025-10-10 22:10:11,user001,employee,device001,trusted,US,37.77,-122.41,finance_app,login,success,True,1,3001.0,50.016666666666666
2025-10-10 22:14:30,user001,employee,device022,trusted,IN,19.07,72.87,hr_portal,login,success,True,1,259.0,4.316666666666666
2025-10-10 22:23:36,user001,employee,device046,trusted,DE,52.52,13.4,email,login,success,True,1,546.0,9.1
2025-10-10 22:33:39,user001,employee,device052,trusted,UK,51.5,-0.12,dev_repo,logout,success,False,1,603.0,10.05
2025-10-10 22:43:43,user001,employee,device095,untrusted,US,37.77,-122.41,email,access,success,True,1,604.0,10.066666666666666
2025-10-10 22:51:49,user001,employee,device057,trusted,DE,52.52,13.4,finance_app,login,success,False,1,486.0,8.1
2025-10-10 22:53:51,user001,contractor,device025,trusted,SG,1.35,103.82,vpn,access,success,True,1,122.0,2.033333333333333
2025-10-10 23:12:14,user001,employee,device070,trusted,US,37.77,-122.41,vpn,login,failure,True,1,1103.0,18.383333333333333
2025-10-10 23:40:06,user001,employee,device018,trusted,UK,51.5,-0.12,finance_app,logout,success,True,1,1672.0,27.866666666666667
2025-10-10 23:56:29,user001,employee,device011,trusted,SG,1.35,103.82,hr_portal,logout,failure,False,1,983.0,16.383333333333333
2025-10-11 00:30:14,user001,employee,device082,trusted,SG,1.35,103.82,vpn,login,success,True,0,2025.0,33.75
2025-10-11 00:41:53,user001,employee,device042,trusted,SG,1.35,103.82,vpn,login,success,True,0,699.0,11.65
2025-10-11 00:43:06,user001,contractor,device022,trusted,DE,52.52,13.4,email,login,success,True,1,73.0,1.2166666666666666
2025-10-11 00:44:50,user001,employee,device018,trusted,DE,52.52,13.4,dev_repo,login,failure,True,0,104.0,1.7333333333333334
2025-10-11 00:55:08,user001,employee,device073,trusted,SG,1.35,103.82,vpn,login,success,False,1,618.0,10.3
2025-10-11 01:19:54,user001,employee,device085,trusted,US,37.77,-122.41,dev_repo,access,success,False,1,1486.0,24.766666666666666
2025-10-11 01:53:14,user001,employee,device036,trusted,DE,52.52,13.4,dev_repo,logout,success,False,1,2000.0,33.333333333333336
2025-10-11 02:01:52,user001,employee,device021,trusted,DE,52.52,13.4,email,access,success,True,0,518.0,8.633333333333333
2025-10-11 02:33:01,user001,employee,device072,untrusted,DE,52.52,13.4,vpn,access,failure,False,0,1869.0,31.15
2025-10-11 02:52:41,user001,employee,device013,trusted,UK,51.5,-0.12,finance_app,access,success,True,1,1180.0,19.666666666666668
2025-10-11 03:34:53,user001,employee,device007,trusted,SG,1.35,103.82,email,login,success,False,1,2532.0,42.2
2025-10-11 03:35:27,user001,admin,device089,trusted,IN,19.07,72.87,email,login,success,True,1,34.0,0.5666666666666667
2025-10-11 03:46:38,user001,employee,device042,trusted,UK,51.5,-0.12,dev_repo,logout,success,False,1,671.0,11.183333333333334
2025-10-11 03:53:19,user001,employee,device076,trusted,UK,51.5,-0.12,vpn,login,success,True,0,401.0,6.683333333333334
2025-10-11 03:53:27,user001,contractor,device025,untrusted,SG,1.35,103.82,hr_portal,logout,success,False,1,8.0,0.13333333333333333
2025-10-11 03:55:25,user001,employee,device054,trusted,SG,1.35,103.82,vpn,login,success,True,0,118.0,1.9666666666666666
2025-10-11 04:17:13,user001,employee,device046,trusted,IN,19.07,72.87,vpn,logout,success,False,1,1308.0,21.8
2025-10-11 04:20:14,user001,employee,device005,trusted,IN,19.07,72.87,vpn,login,success,True,0,181.0,3.0166666666666666
2025-10-11 04:40:35,user001,employee,device073,trusted,SG,1.35,103.82,finance_app,access,success,True,1,1221.0,20.35
2025-10-11 04:41:32,user001,employee,device016,trusted,US,37.77,-122.41,vpn,access,success,True,1,57.0,0.95
2025-10-11 04:50:44,user001,employee,device042,trusted,DE,52.52,13.4,email,login,success,True,1,552.0,9.2
2025-10-11 05:00:42,user001,employee,device066,trusted,US,37.77,-122.41,dev_repo,logout,success,True,1,598.0,9.966666666666667
2025-10-11 05:19:44,user001,contractor,device004,trusted,US,37.77,-122.41,email,access,success,False,0,1142.0,19.033333333333335
2025-10-11 05:27:08,user001,admin,device037,trusted,US,37.77,-122.41,finance_app,login,success,False,0,444.0,7.4
2025-10-11 05:44:32,user001,employee,device016,trusted,IN,19.07,72.87,vpn,logout,success,True,1,1044.0,17.4
2025-10-11 05:45:59,user001,employee,device079,trusted,IN,19.07,72.87,email,logout,success,True,0,87.0,1.45
2025-10-11 06:00:21,user001,employee,device007,trusted,DE,52.52,13.4,dev_repo,logout,success,True,1,862.0,14.366666666666667
2025-10-11 06:51:19,user001,employee,device039,trusted,DE,52.52,13.4,dev_repo,access,success,True,0,3058.0,50.96666666666667
2025-10-11 06:52:57,user001,contractor,device077,trusted,UK,51.5,-0.12,hr_portal,access,success,True,1,98.0,1.6333333333333333
2025-10-11 07:29:07,user001,employee,device026,trusted,DE,52.52,13.4,vpn,access,success,False,1,2170.0,36.166666666666664
2025-10-11 08:17:55,user001,employee,device001,trusted,IN,19.07,72.87,vpn,login,success,True,1,2928.0,48.8
2025-10-11 08:29:51,user001,contractor,device039,untrusted,UK,51.5,-0.12,hr_portal,access,success,True,1,716.0,11.933333333333334
2025-10-11 08:38:12,user001,employee,device016,trusted,IN,19.07,72.87,dev_repo,logout,success,True,1,501.0,8.35
2025-10-11 08:51:16,user001,employee,device006,trusted,UK,51.5,-0.12,finance_app,access,success,False,1,784.0,13.066666666666666
2025-10-11 08:55:47,user001,employee,device052,trusted,IN,19.07,72.87,email,login,success,False,1,271.0,4.516666666666667
2025-10-11 09:20:53,user001,contractor,device003,trusted,US,37.77,-122.41,finance_app,logout,success,True,1,1506.0,25.1
2025-10-11 09:27:00,user001,employee,device033,trusted,US,37.77,-122.41,vpn,logout,success,True,0,367.0,6.116666666666666
2025-10-11 09:39:16,user001,employee,device051,trusted,US,37.77,-122.41,dev_repo,access,success,True,0,736.0,12.266666666666667
2025-10-11 10:08:17,user001,employee,device090,untrusted,US,37.77,-122.41,email,logout,success,True,0,1741.0,29.016666666666666
2025-10-11 10:10:55,user001,employee,device061,trusted,SG,1.35,103.82,dev_repo,access,success,True,1,158.0,2.6333333333333333
2025-10-11 10:18:39,user001,employee,device018,trusted,US,37.77,-122.41,email,logout,success,True,1,464.0,7.733333333333333
2025-10-11 10:24:56,user001,contractor,device022,trusted,US,37.77,-122.41,dev_repo,login,success,False,0,377.0,6.283333333333333
2025-10-11 10:49:38,user001,employee,device047,trusted,UK,51.5,-0.12,hr_portal,logout,success,True,1,1482.0,24.7
2025-10-11 10:55:51,user001,employee,device060,trusted,SG,1.35,103.82,dev_repo,access,success,False,1,373.0,6.216666666666667
2025-10-11 11:13:52,user001,contractor,device007,trusted,IN,19.07,72.87,hr_portal,logout,success,True,1,1081.0,18.016666666666666
2025-10-11 11:20:41,user001,contractor,device024,trusted,US,37.77,-122.41,finance_app,logout,success,True,1,409.0,6.816666666666666
2025-10-11 11:25:02,user001,employee,device017,untrusted,UK,51.5,-0.12,hr_portal,logout,success,True,1,261.0,4.35
2025-10-11 12:05:23,user001,employee,device017,trusted,US,37.77,-122.41,finance_app,logout,success,True,1,2421.0,40.35
2025-10-11 12:10:47,user001,employee,device017,trusted,DE,52.52,13.4,hr_portal,logout,success,True,1,324.0,5.4
2025-10-11 12:12:09,user001,admin,device047,trusted,US,37.77,-122.41,email,access,success,True,1,82.0,1.3666666666666667
2025-10-11 12:14:25,user001,employee,device003,trusted,US,37.77,-122.41,hr_portal,login,success,False,0,136.0,2.2666666666666666
2025-10-11 12:19:20,user001,contractor,device029,trusted,US,37.77,-122.41,email,login,success,True,0,295.0,4.916666666666667
2025-10-11 12:31:03,user001,employee,device024,untrusted,IN,19.07,72.87,vpn,access,success,False,1,703.0,11.716666666666667
2025-10-11 12:44:33,user001,admin,device016,trusted,SG,1.35,103.82,dev_repo,logout,success,True,1,810.0,13.5
2025-10-11 12:51:58,user001,employee,device004,trusted,SG,1.35,103.82,vpn,login,success,True,0,445.0,7.416666666666667
